"ID INTERVENCION","FECHA DE INTERVENCION","FECHA DE INGRESO","UBICACION","PROCEDENCIA","LOCALIZACION ARBOL","ESTADO DE MADUREZ","TIPO DE ARBOL","TIPO DE INTERVENCION","CODIGO ARBOL","ESPECIE","NOMBRE COMUN","ESPECIE TEMPORAL","NOMBRE COMUN TEMPORAL","FAMILIA TEMPORAL","ALTURA TOTAL","ALTURA DE COPA","DAP","ESTADO DEL ARBOL","COBERTURA PIE","INTERVENCIONES SECUNDARIAS","ID ESTADO","TALA ORIGEN","ESTADO DE ARBOL","ESTADO DE INTERVENCION","OBSERVACIONES DE LA INTERVENCION","OBSERVACIONES","ENTIDAD RADICADO","RADICADO","FECHA DE RADICADO","ENTORNO","RIESGO","RECOMENDACIONES","SINTOMAS DE DAÑO MECANICO","AGENTE DE DAÑO MECANICO","SINTOMA DE ENFERMEDAD","SEVERIDAD","MUNICIPIO","COMUNA","BARRIO","DIRECCION","GEO X","GEO Y","LATITUD","LONGITUD","ACTOR","OPERADOR","USUARIO","INTERVENTOR","FUNCIONARIO","ID CONTRATO","CONTRATO","AÑO CONTRATO","VERIFICADO","IMAGEN","NOMBRE ORIGINAL"
"9094174","30/10/2013","09/12/2013","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Común","Monitoreo de variables dasometricas","00110190580064","Washingtonia robusta","Palma washingtonia","","","","14.00","12.00","46.00","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","Heridas en el Tallo o Ramas, Raices Descubiertas","Otros Daños","","","Medellín","La Candelaria","La Candelaria","    ","834927.682","1183332.8538","6.25194067","-75.56902488","Secretaría del Medio Ambiente","Secretaria de Medio Ambiente","","Jonatan Cardona","Leider Andres Arias Garcia","123","33333","2015","Si","https://www.medellin.gov.co/sau/images/intervencion/001/00110/0011019/9094174/72864.jpg","Inked8303_0108_LINA.jpg"
"9123446","02/05/2014","01/08/2014","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110040190059","Cocos nucifera","Palma de coco","","","","7.00","5.00","26.00","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","El Chagualo","","834575.5889","1184406.3561","6.26163558","-75.57223307","EDU","Consorcio Desarrollo Integral Medellín","","","","87","4600043683","2012","No","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/3683_DSCF1500.JPG","3683_DSCF1500.JPG"
"9148512","19/11/2014","05/12/2014","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110160150018","Syagrus romanzoffiana","Palma reina, coco plumoso, palma de azúcar","","","","9.50","5.70","24.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","Boston","","835739.8394800973","1182895.839086678","6.248011012586463","-75.5616771377248","Secretaría del Medio Ambiente","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","William Alzate  ","Jonatan Cardona","","90","4600055369","2014","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/5369_W2689.JPG","5369_W2689.JPG"
"9149442","19/11/2014","11/12/2014","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110190460045","Syagrus romanzoffiana","Palma reina, coco plumoso, palma de azúcar","","","","13.00","8.00","31.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","La Candelaria","","835606.8399","1182923.4537","6.24825724","-75.56287928","Secretaría del Medio Ambiente","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","Leider Andres Arias Garcia","Jonatan Cardona","","90","4600055369","2014","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/5369_LA4005.JPG","5369_LA4005.JPG"
"9192760","13/08/2015","25/08/2015","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Monitoreo de variables dasometricas","08807020000307","Talipariti tiliaceum","Majaguo, sanjoaquín, chitú, majagua","","","","4.80","1.20","7.00","Individuo Sano","Si","Fertilizacion, Limpieza, Plateo","6","","Desaparecido","Aprobado","","","","","","","","Aplicación material vegetal picado, Poda de Mantenimiento","","","","","Bello","Altos de Niquía","Niquía Bifamiliar","","836349.11","1193394.1812","6.34292703","-75.55644183","Área Metropolitana del Valle de Aburrá","ECOSISTEMAS SAS","Fredy Andres  Guerra Lainez","","Jhober  ","106","300","2014","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/9192760/300_T2219.JPG","300_T2219.JPG"
"9288136","16/02/2016","22/02/2016","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Monitoreo de variables dasometricas","00115090620017","Fraxinus uhdei","Urapán, fresno urapán, fresno","","","","0.00","0.00","0.00","Individuo Desaparecido","Si","","6","","Desaparecido","Aprobado","","","","","","","","","","","","","Medellín","Guayabal","Cristo Rey","","832572.9165","1178665.4836","6.20968941","-75.59017561","Secretaría del Medio Ambiente","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","Andres Felipe David Herrera","Jonatan Cardona","","115","4600059174","2015","Si","",""
"9291093","24/02/2016","01/03/2016","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Monitoreo de variables dasometricas","00115070090001","Platycladus orientalis","Tuya, pino libro, pino tuya","","","","0.00","0.00","0.00","Individuo Desaparecido","Si","","6","","Desaparecido","Aprobado","","","","","","","","","","","","","Medellín","Guayabal","Campo Amor","","833013.3547","1178771.1971","6.21065636","-75.5862","Secretaría del Medio Ambiente","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","Andres Felipe David Herrera","","","115","4600059174","2015","Si","",""
"9860767","13/04/2018","01/05/2018","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110190580047","Washingtonia robusta","Palma washingtonia","","","","10.50","8.50","52.84","Individuo Sano","Si","Visita AMVA","3","","Talado","Aprobado","","Respuesta a comunicación oficial recibida con radicado N° 10154 de 04 de abril de 2018. Ejemplar con buena condición fitosanitaria y estructural, se autoriza poda de mantenimiento consistente en eliminación de hojas secas o sobremaduras; plantado en zona verde privada del Museo de Antioquia - sobre la carrera 52 frente a la plaza de Botero.","","","","","Posible Caida de Ramas","Poda de Mantenimiento","","","","","Medellín","La Candelaria","La Candelaria","","834956.4801","1183393.124","6.25248622","-75.56876627","Área Metropolitana del Valle de Aburrá","Area Metropolitana del Valle de Aburra","Harold Enrique Triana Gutiérrez","","","269","AMVA 000 CV2018","2018","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/9860767/CV_107_20180413_19_2.jpg","CV_107_20180413_19_2.jpg"
"10124973","28/12/2018","02/01/2019","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110180000140","Roystonea regia","Palma real de Cuba, palma real, palma botella","","","","16.00","12.00","70.35","Individuo Sano","No","Visita AMVA","1","","Activo","Aprobado","","Respuesta a solicitud con radicado N° 40993 del 17 de diciembre del 2018. Palma  ubicada en la Calle 56 N° 46-57, frente al Edificio Bolivia, municipio de Medellín. Individuo en buenas condiciones fitosanitarias y estructurales. Se autoriza poda de hojas secas. Remitir a EMVARIAS.","","","","Luminarias , Postes de energía","Posible Caida de Ramas","Poda de Mantenimiento","","","","","Medellín","La Candelaria","Villa Nueva","","835566.8646540765","1183443.4932695203","6.25295715","-75.56325366","Área Metropolitana del Valle de Aburrá","Area Metropolitana del Valle de Aburra","Beatriz Grajales","Maira Yhamerlin Caicedo Pino","","269","AMVA 000 CV2018","2018","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/10124973/1100_BMGA_20181227_939.jpg","1100_BMGA_20181227_939.jpg"
"10533962","28/01/2020","29/01/2020","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110190600003","Archontophoenix cunninghamiana","Payanesa, palma payanesa","","","","9.60","5.80","18.78","Individuo Sano","Si","Aplicación material vegetal picado, Fertilizacion, Limpieza, Plateo","6","","Desaparecido","Aprobado","","La Secretaria de Infraestructura Física reporta 3 mantenimientos integrales, con el contrato 4600074768 en los meses de enero, febrero y marzo de 2019 y con el contrato 4600080845 reportan 4 mantenimientos integrales en los meses de mayo, junio, julio y septiembre de 2019. La baja calidad de la fotografía obedece a condiciones climáticas. 
","","","","Línea Metro","","","","","","","Medellín","La Candelaria","La Candelaria","    ","835064.1264312203","1183262.65286786","6.25130958","-75.56779051","Secretaría de Infraestructura Física","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","Andres Felipe David Herrera","Monica  Sanchez ","Nicolas Alberto Rivillas","353","4600080845","2019","Si","https://www.medellin.gov.co/sau/images/intervencion/001/00110/0011019/10533962/0.jpg","DSC02716.jpg"
"2505","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Inventario inicial","00116120740072","Dracaena fragrans","Tronco del brasil, dracena, tronco de la felicidad","","","","1.00","0.50","","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","Belén","La Gloria","","831657.6411","1180177.8069","6.22333624","-75.59848223","Desconocido","Desconocido","","","","","","","No","",""
"2540","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Inventario inicial","00116120740086","Caesalpinia pulcherrima","Clavellino","","","","1.90","1.00","","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","Belén","La Gloria","","831563.503","1180307.6139","6.22450717","-75.59933594","Desconocido","Desconocido","","","","","","","No","",""
"4389","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Inventario inicial","00115070090003","Araucaria heterophylla","Araucaria, Araucaria Real, pino de la isla de Norfolk","","","","1.70","1.00","","Individuo Sano","Si","","6","","Desaparecido","Aprobado","","","","","","","","","","","","","Medellín","Guayabal","Campo Amor","","833019.7811","1178784.2176","6.21077423","-75.58614229","Desconocido","Desconocido","","","","","","","No","",""
"6503","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00111050560007","Cupressus lusitanica","Cipres, pino, pino ciprés","","","","6.00","4.00","15.00","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","Interferencia con Redes Aéreas","Cicatrizacion, Poda de Mantenimiento","Heridas en el Tallo o Ramas, Inclinado","Guadañas u Otros Agentes","","","Medellín","Laureles Estadio","Los Conquistadores","","833546.4894","1182509.7521","6.2444647","-75.58148054","Desconocido","Desconocido","","","","","","","No","",""
"6572","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00111050040022","Erythrina crista-galli","Cresta de gallo","","","","5.00","3.00","45.00","Individuo Enfermo","Si","","1","","Activo","Aprobado","","","","","","","Afectación a Construcciones, Interferencia con Circulación","Limpieza, Poda de Mantenimiento","Raices Descubiertas, Ramas Quebradas","Poda Inadecuada","Plantas Epífitas, Plantas Parásitas","ALTO, ALTO","Medellín","Laureles Estadio","Los Conquistadores","","833185.7989","1181994.0061","6.23979331","-75.58472543","Desconocido","Desconocido","","","","","","","No","",""
"41132","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Común","Inventario inicial","001null0003950","Jacaranda mimosifolia","Jacaranda, gualanday","","","","2.00","1.30","","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","El Chagualo","","834642.8723","1184642.9305","6.26377583","-75.57163134","Desconocido","Desconocido","","","","","","","No","",""
"43116","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Común","Inventario inicial","00110190580063","Washingtonia robusta","Palma washingtonia","","","","9.00","3.00","46.00","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","La Candelaria","","834935.10237503","1183350.60504044","6.25210132","-75.5689583","Desconocido","Desconocido","","","","","","","No","",""
"44289","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Inventario inicial","00106030810010","Citrus reticulata","Mandarina","","","","3.60","2.60","","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","Limpieza","Heridas en el Tallo o Ramas","Presencia de Clavos/Alambres","","","Medellín","Doce de Octubre","Doce de Octubre No.2","","833740.0399","1188708.9786","6.30050749","-75.57989261","Desconocido","Desconocido","","","","","","","No","",""
"104272","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Común","Inventario inicial","00113080080015","Jacaranda mimosifolia","Jacaranda, gualanday","","","","11.00","6.00","36.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","Poda de Estabilidad - Compensacion","Inclinado","","","","Medellín","San Javier","El Socorro","","829744.7327","1184193.6731","6.25958697","-75.61586707","Desconocido","Desconocido","","","","","","","No","",""
"105189","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00113100460007","Pithecellobium dulce","Chiminango, payandé, gallinero, acacia tunuda, azabache","","","","10.50","9.00","24.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","Interferencia con Circulación, Interferencia con Redes Aéreas, Posible Caida de Ramas","Cicatrizacion, Limpieza, Poda de Estabilidad - Compensacion, Poda de Mantenimiento","Heridas en el Tallo o Ramas, Inclinado, Ramas Quebradas","Guadañas u Otros Agentes, Poda Inadecuada","Chancros","BAJO","Medellín","San Javier","Veinte de Julio","","829182.9778","1183559.6175","6.25384065","-75.6209248","Desconocido","Desconocido","","","","","","","No","",""
"124614","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Inventario inicial","00114200090241","Clusia orthoneura","Flor de cera","","","","1.60","1.50","","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","El Poblado","Astorga","","834199.7221780159","1178649.1247027474","6.20958333","-75.57548078","Desconocido","Desconocido","","","","","","","No","",""
"162495","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Inventario inicial","00107030020495","Brunfelsia pauciflora","Francesino","","","","2.00","2.00","","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","Robledo","San Germán","","832927.5263","1185103.2044","6.2678921","-75.58713908","Desconocido","Desconocido","","","","","","","No","",""
"514264","31/12/2011","30/12/1899","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Poda de Correccion","00113090120022","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Hueso Pelahueso, ","","","","","","","","","","","Medellín","San Javier","San Javier No.1","","829778.111","1183793.3023","6.25596877","-75.61555497","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"521251","26/02/2008","26/02/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Poda de Mantenimiento","00111050040022","Erythrina crista-galli","Cresta de gallo","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Rodeo  Aeroparque SanJuan, ","","","","","","","","","","","Medellín","Laureles Estadio","Los Conquistadores","","833185.7989","1181994.0061","6.23979331","-75.58472543","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"521490","26/02/2008","26/02/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Poda de Mantenimiento","00111050110002","Cojoba arborea","Carbonero zorro, cojoba, dormilón","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Rodeo  Aeroparque SanJuan, ","","","","","","","","","","","Medellín","Laureles Estadio","Los Conquistadores","","833139.1223","1182036.4558","6.24017583","-75.58514816","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"9148200","19/10/2014","04/12/2014","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Patrimonio Cultural","Monitoreo de variables dasometricas","00110190580067","Washingtonia robusta","Palma washingtonia","","","","24.00","21.00","46.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","La Candelaria","","834958.3431","1183397.56","6.25252637","-75.56874956","Secretaría del Medio Ambiente","Secretaria de Medio Ambiente","Yony Andres Sanchez Puerta","","","101","22222","2014","No","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/222_LA30PB.JPG","222_LA30PB.JPG"
"9155424","14/03/2014","04/02/2015","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Monitoreo de variables dasometricas","00105090440020","Graptophyllum pictum","_","","","","0.00","0.00","0.00","Individuo Desaparecido","Si","","6","","Desaparecido","Aprobado","","NO SE ENCONTRO EN CAMPO","","","","","","","","","","","Medellín","Castilla","Girardot","","835210.9436","1188625.9314","6.29979489","-75.56660192","EDU","CONSORCIO CVH","","","","108","4600051821","2013","No","",""
"9165755","29/04/2015","18/06/2015","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00107170001049","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","7.50","3.10","42.02","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","Robledo","Robledo","","831966.355463634","1185994.31530584","6.27592215","-75.59584526","Secretaría del Medio Ambiente","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","William Alzate  ","Jonatan Cardona","","115","4600059174","2015","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/9165755/9174_W0061.JPG","9174_W0061.JPG"
"10289234","16/07/2014","05/07/2019","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Monitoreo de variables dasometricas","00110190600008","Phoenix roebelenii","Palma robeleni","","","","2.60","0.50","1.00","Individuo Sano","Si","","6","","Desaparecido","Aprobado","","","","","","","","","","","","","Medellín","La Candelaria","La Candelaria","","835074.2910545772","1183317.797973877","6.25180833","-75.5677001","Metro de Medellín LTDA","Cooperativa de Desarrollo y Empleo Social  PRECOODES","Yony Andres Sanchez Puerta","","","88","201300591","2013","Si","https://www.medellin.gov.co/sau/images/intervencion_V2/imagenes/10289234/DM_0591_BER_15.jpg","DM_0591_BER_15.jpg"
"10534245","03/01/2020","29/01/2020","Mapas.Medellin","Desconocida","Zona Privada","Adulto","Patrimonio Cultural","Monitoreo de variables dasometricas","00110190580044","Washingtonia robusta","Palma washingtonia","","","","23.00","19.00","49.02","Individuo Sano","No","","1","","Activo","Aprobado","","La Secretaria de Infraestructura Física reporta 3 mantenimientos integrales, con el contrato 4600074768 en los meses de enero, febrero y marzo de 2019 y con el contrato 4600080845 reportan 4 mantenimientos integrales en los meses de mayo, junio, julio y septiembre de 2019. 
","","","","","","","Heridas en el Tallo o Ramas","Otros Daños","","","Medellín","La Candelaria","La Candelaria","    ","834961.01467428","1183407.49673234","6.25261626","-75.56872568","Secretaría de Infraestructura Física","Fundación Jardín Botánico ""Joaquín Antonio Uribe"" de Medellín","León Daniel Ruiz Correa","Monica  Sanchez ","Nicolas Alberto Rivillas","353","4600080845","2019","Si","https://www.medellin.gov.co/sau/images/intervencion/001/00110/0011019/10534245/0.jpg","0845_DR1488.jpg"
"10725461","13/05/2021","14/05/2021","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00116170260455","Petrea rugosa","Estrella de Oriente - Petra","","","","4.15","2.00","7.19","Individuo Sano","Si","Aplicación material vegetal picado, Fertilizacion, Limpieza, Plateo, Poda de Mantenimiento","1","","Activo","Aprobado","","El mantenimiento del sitio es poco perceptible debido a la regeneración de arvenses que atenúan el mantenimiento actual.","","","","Manholl, Postes de energía, Redes de baja Tensión Compactas ","","","Inclinado","Otros Daños","","","Medellín","Belén","Las Mercedes","    Las mercedes","830679.755352028","1181729.7743011476","6.237339549340767","-75.60735593063274","Secretaría de Infraestructura Física","Metroparques EICE","Jonatan Cardona","Estevenson Montoya Agudelo","","1077","4600087446","2020","No","https://www.medellin.gov.co/sau/images/intervencion/001/00116/0011617/10725461/0.jpg","IMG_20210513_093108.jpg"
"10839913","04/01/2022","08/02/2022","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Monitoreo de variables dasometricas","00110190580004","Jacaranda mimosifolia","Jacaranda, gualanday","","","","11.20","6.00","34.20","Individuo Sano","Si","","6","","Desaparecido","Aprobado","","Se recomienda poda para Retirar únicamente ramas secas y quebradas. ","","","","","Posible Caida de Ramas","Poda de Mantenimiento","","","","","Medellín","La Candelaria","La Candelaria","    Parque Botero. jardinera cerca a linea metro","835036.9271479587","1183373.3706902114","6.25230972","-75.56803905","EMVARIAS S.A. E.S.P.","Institución Universitaria Colegio Mayor de Antioquia","Leidy Vanessa Echavarria Mazo","Ismael  Pineda","Leider Andres Arias Garcia","1174","CW153526","2021","Si","https://www.medellin.gov.co/sau/images/intervencion/001/00110/0011019/10839913/0.jpg","0337E2.jpg"
"1891","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Inventario inicial","00115090620003","Caesalpinia pluviosa","Acacia amarilla, Palo Brasil","","","","7.00","4.60","14.00","Individuo Enfermo","Si","","6","","Desaparecido","Aprobado","","","","","","","Interferencia con Redes Aéreas","Cicatrizacion, Limpieza","","","Chancros","ALTO","Medellín","Guayabal","Cristo Rey","","832567.672","1178644.4963","6.20949956","-75.59022244","Desconocido","Desconocido","","","","","","","No","",""
